model,layer,dataset,subject,roi,pearson_r,pearson_r_nc,explained_variance,ev_nc,rsa,cka
MODEL_A,layer1-0,TVSD,monkeyF,IT,0.37300527,0.03865096,0.12555207,0.00134539,0.07051889,0.14118677
MODEL_A,layer1-0,TVSD,monkeyF,V4,0.45477777,0.04638038,0.17398773,0.00180911,0.06973402,0.15033617
MODEL_A,layer1-0,TVSD,monkeyF,V1,0.58550454,0.06031375,0.27681128,0.00293855,0.10795887,0.33114816
MODEL_A,layer1-0,TVSD,monkeyN,IT,0.38084213,0.0389822,0.11667938,0.00122211,0.04232898,0.0533053
MODEL_A,layer1-0,TVSD,monkeyN,V4,0.44761885,0.04573671,0.17711123,0.00184857,0.10115832,0.21116249
MODEL_A,layer1-0,TVSD,monkeyN,V1,0.6062146,0.06147682,0.31743172,0.00326683,0.10090949,0.35121525
MODEL_A,layer2-0,TVSD,monkeyF,IT,0.50188892,0.05200433,0.25677911,0.0027517,0.16229082,0.16897207
MODEL_A,layer2-0,TVSD,monkeyF,V4,0.49486892,0.05044491,0.19455,0.00202252,0.13418295,0.17827818
MODEL_A,layer2-0,TVSD,monkeyF,V1,0.68749524,0.07077706,0.45045404,0.00476819,0.18920889,0.34721784
MODEL_A,layer2-0,TVSD,monkeyN,IT,0.39681965,0.04055864,0.12356581,0.00129022,0.11354736,0.07184044
MODEL_A,layer2-0,TVSD,monkeyN,V4,0.61253674,0.06257439,0.36656214,0.00381858,0.19630111,0.26052066
MODEL_A,layer2-0,TVSD,monkeyN,V1,0.73513738,0.07452188,0.51567227,0.00529877,0.18981773,0.37672631
MODEL_A,layer3-0,TVSD,monkeyF,IT,0.60892321,0.06310392,0.35933986,0.00385542,0.26381296,0.23163271
MODEL_A,layer3-0,TVSD,monkeyF,V4,0.69851896,0.07121657,0.46277709,0.0048082,0.213488,0.25805583
MODEL_A,layer3-0,TVSD,monkeyF,V1,0.63292272,0.06513199,0.38323754,0.00405124,0.19767531,0.31585828
MODEL_A,layer3-0,TVSD,monkeyN,IT,0.65091673,0.06657875,0.40497575,0.00423158,0.17038246,0.12577313
MODEL_A,layer3-0,TVSD,monkeyN,V4,0.68103028,0.06960265,0.43556704,0.00454587,0.24989134,0.30388363
MODEL_A,layer3-0,TVSD,monkeyN,V1,0.69596748,0.07054884,0.45885046,0.00471535,0.1977494,0.34109384
MODEL_A,layer3-5,TVSD,monkeyF,IT,0.65289244,0.06769511,0.4042174,0.00434677,0.23977535,0.24697532
MODEL_A,layer3-5,TVSD,monkeyF,V4,0.60637619,0.06180972,0.22049444,0.00229212,0.17324917,0.22897073
MODEL_A,layer3-5,TVSD,monkeyF,V1,0.63274399,0.06513188,0.36496432,0.0038632,0.13313831,0.22260951
MODEL_A,layer3-5,TVSD,monkeyN,IT,0.69249806,0.07086108,0.45940814,0.00480821,0.15521961,0.15484572
MODEL_A,layer3-5,TVSD,monkeyN,V4,0.71442516,0.07303441,0.47803413,0.00499627,0.19523977,0.27778918
MODEL_A,layer3-5,TVSD,monkeyN,V1,0.68918993,0.06985956,0.42890289,0.00440726,0.12986936,0.24269936
MODEL_A,layer3-10,TVSD,monkeyF,IT,0.6744768,0.06990918,0.42926481,0.00461079,0.25484894,0.26457658
MODEL_A,layer3-10,TVSD,monkeyF,V4,0.59589552,0.06073599,0.22752811,0.00236526,0.17047529,0.21576194
MODEL_A,layer3-10,TVSD,monkeyF,V1,0.60729881,0.06249821,0.33526811,0.00354666,0.09492353,0.1619334
MODEL_A,layer3-10,TVSD,monkeyN,IT,0.70818153,0.07245843,0.48538445,0.00507869,0.1408186,0.16515803
MODEL_A,layer3-10,TVSD,monkeyN,V4,0.71153726,0.07272262,0.47678301,0.00498019,0.18399703,0.24877049
MODEL_A,layer3-10,TVSD,monkeyN,V1,0.67535594,0.06845885,0.3960394,0.00406991,0.09961283,0.17054701
MODEL_A,layer3-15,TVSD,monkeyF,IT,0.58261086,0.06040823,0.20349032,0.00219272,0.23198461,0.27396602
MODEL_A,layer3-15,TVSD,monkeyF,V4,0.59725134,0.06086912,0.22561893,0.00234625,0.12897926,0.185882
MODEL_A,layer3-15,TVSD,monkeyF,V1,0.59068717,0.0607826,0.32157379,0.00340118,0.0703524,0.13836069
MODEL_A,layer3-15,TVSD,monkeyN,IT,0.66090862,0.06765788,0.28221059,0.00296218,0.13506425,0.18490348
MODEL_A,layer3-15,TVSD,monkeyN,V4,0.70721131,0.07228198,0.47758212,0.00498938,0.14538492,0.2260977
MODEL_A,layer3-15,TVSD,monkeyN,V1,0.65503022,0.06640115,0.38461696,0.00395276,0.07102404,0.14166478
MODEL_A,layer3-20,TVSD,monkeyF,IT,0.69535296,0.07209019,0.46416976,0.00498803,0.23936651,0.29276754
MODEL_A,layer3-20,TVSD,monkeyF,V4,0.59912227,0.06107728,0.23934144,0.00249096,0.13251899,0.19371351
MODEL_A,layer3-20,TVSD,monkeyF,V1,0.5774069,0.05941385,0.30754529,0.00325164,0.0719004,0.12899251
MODEL_A,layer3-20,TVSD,monkeyN,IT,0.66224662,0.06778679,0.29447493,0.00309018,0.1366243,0.19187707
MODEL_A,layer3-20,TVSD,monkeyN,V4,0.69418144,0.07094292,0.468012,0.00488839,0.15045751,0.23462396
MODEL_A,layer3-20,TVSD,monkeyN,V1,0.64482546,0.06536326,0.36494807,0.00374994,0.07258236,0.1306149
MODEL_A,layer3-25,TVSD,monkeyF,IT,0.70126719,0.07269386,0.47073941,0.00505634,0.24584285,0.30051142
MODEL_A,layer3-25,TVSD,monkeyF,V4,0.59012033,0.06013386,0.23028566,0.00239429,0.12195834,0.1910614
MODEL_A,layer3-25,TVSD,monkeyF,V1,0.56799986,0.05843215,0.29557386,0.00312417,0.0672759,0.12435245
MODEL_A,layer3-25,TVSD,monkeyN,IT,0.66204584,0.06775654,0.29430816,0.00308757,0.14117182,0.20320037
MODEL_A,layer3-25,TVSD,monkeyN,V4,0.69016549,0.07054737,0.4636683,0.004846,0.13666536,0.22983169
MODEL_A,layer3-25,TVSD,monkeyN,V1,0.63097122,0.06395041,0.35342544,0.00363013,0.06551134,0.12469465
MODEL_A,layer3-30,TVSD,monkeyF,IT,0.70159048,0.07274575,0.46471229,0.0049968,0.23615014,0.27825507
MODEL_A,layer3-30,TVSD,monkeyF,V4,0.5789199,0.05899411,0.21026336,0.00218743,0.12302521,0.19094729
MODEL_A,layer3-30,TVSD,monkeyF,V1,0.58212542,0.05989124,0.30091769,0.00318056,0.073606,0.14134242
MODEL_A,layer3-30,TVSD,monkeyN,IT,0.7292174,0.0746086,0.52432162,0.0054833,0.13771357,0.17838512
MODEL_A,layer3-30,TVSD,monkeyN,V4,0.68969841,0.07050163,0.45313128,0.00473734,0.13912994,0.22650611
MODEL_A,layer3-30,TVSD,monkeyN,V1,0.62320518,0.06317268,0.35017142,0.00359884,0.07293797,0.14020599
MODEL_A,layer4-1,TVSD,monkeyF,IT,0.65818137,0.06815092,0.43012547,0.00459216,0.29047199,0.26997353
MODEL_A,layer4-1,TVSD,monkeyF,V4,0.60746715,0.06187041,0.3666386,0.00378119,0.1495838,0.15582596
MODEL_A,layer4-1,TVSD,monkeyF,V1,0.48333416,0.04967913,0.22867242,0.0023949,0.08549923,0.10534607
MODEL_A,layer4-1,TVSD,monkeyN,IT,0.70691731,0.07229233,0.50149701,0.00522684,0.15599554,0.15746184
MODEL_A,layer4-1,TVSD,monkeyN,V4,0.62812993,0.0641866,0.40047,0.00417505,0.1569272,0.18349158
MODEL_A,layer4-1,TVSD,monkeyN,V1,0.58295641,0.05907982,0.32783966,0.00336643,0.07215402,0.10502722
MODEL_B,language_model-layers-3,TVSD,monkeyF,IT,0.00953272,0.0009886,-56.9542616,-0.64397198,0.0841684,0.16471421
MODEL_B,language_model-layers-3,TVSD,monkeyF,V4,-0.00031302,2.81e-06,-34.71390844,-0.38315601,0.05183978,0.09814963
MODEL_B,language_model-layers-3,TVSD,monkeyF,V1,0.00656127,0.00065318,-43.28321269,-0.48011337,0.03389231,0.04249518
MODEL_B,language_model-layers-3,TVSD,monkeyN,IT,0.01294291,0.00131798,-40.39663059,-0.44907435,0.05094016,0.08650177
MODEL_B,language_model-layers-3,TVSD,monkeyN,V4,0.00041901,3.806e-05,-42.44559108,-0.46024179,0.05156836,0.11370834
MODEL_B,language_model-layers-3,TVSD,monkeyN,V1,0.01032944,0.0010563,-27.41594058,-0.28854112,0.03900081,0.05686213
MODEL_B,language_model-layers-8,TVSD,monkeyF,IT,0.00711461,0.00076818,-51.66949624,-0.58564224,0.09641471,0.1640933
MODEL_B,language_model-layers-8,TVSD,monkeyF,V4,0.00240597,0.00026201,-31.08906608,-0.3426353,0.05385469,0.09251375
MODEL_B,language_model-layers-8,TVSD,monkeyF,V1,-0.00430951,-0.00045014,-37.42050504,-0.41436203,0.03363165,0.04740991
MODEL_B,language_model-layers-8,TVSD,monkeyN,IT,0.00124066,0.00014196,-35.7443525,-0.39687905,0.0601303,0.08199923
MODEL_B,language_model-layers-8,TVSD,monkeyN,V4,-0.00103619,-0.00012973,-38.28707267,-0.41600916,0.05650098,0.10886775
MODEL_B,language_model-layers-8,TVSD,monkeyN,V1,0.0068003,0.00068846,-24.08359023,-0.25327888,0.04159971,0.06469481
MODEL_B,language_model-layers-11,TVSD,monkeyF,IT,-0.00657958,-0.00065316,-100.57016813,-1.13750073,0.09093169,0.16707147
MODEL_B,language_model-layers-11,TVSD,monkeyF,V4,-0.00717443,-0.00072344,-60.45097419,-0.66807245,0.05282527,0.09705765
MODEL_B,language_model-layers-11,TVSD,monkeyF,V1,0.00232517,0.00025316,-75.91600208,-0.84269237,0.02004485,0.03746853
MODEL_B,language_model-layers-11,TVSD,monkeyN,IT,0.01306879,0.00131328,-68.36726501,-0.75684689,0.05144199,0.09060229
MODEL_B,language_model-layers-11,TVSD,monkeyN,V4,0.01022934,0.00104349,-74.45774897,-0.80954272,0.05485118,0.10881022
MODEL_B,language_model-layers-11,TVSD,monkeyN,V1,0.00642975,0.00065865,-47.2205904,-0.49667445,0.02936424,0.05396842
MODEL_B,language_model-layers-16,TVSD,monkeyF,IT,-0.00357877,-0.00039565,-302.24666723,-3.42914594,0.09189265,0.14870912
MODEL_B,language_model-layers-16,TVSD,monkeyF,V4,0.01528924,0.00156728,-173.87350469,-1.91129097,0.0606425,0.08516486
MODEL_B,language_model-layers-16,TVSD,monkeyF,V1,-0.00010025,-5.84e-06,-217.6768091,-2.41569657,0.02261883,0.04271118
MODEL_B,language_model-layers-16,TVSD,monkeyN,IT,0.00841265,0.00086243,-204.13093714,-2.26441759,0.04738882,0.07569054
MODEL_B,language_model-layers-16,TVSD,monkeyN,V4,0.00036661,4.575e-05,-218.00235446,-2.36388762,0.06124223,0.09641591
MODEL_B,language_model-layers-16,TVSD,monkeyN,V1,0.00047403,3.091e-05,-142.26726738,-1.49954297,0.02489672,0.05616277
MODEL_B,visual-blocks-2,TVSD,monkeyF,IT,0.37926007,0.03929238,0.12409986,0.00132403,0.07604547,0.07866373
MODEL_B,visual-blocks-2,TVSD,monkeyF,V4,0.47154262,0.04804079,0.18231024,0.00189123,0.04479164,0.07353748
MODEL_B,visual-blocks-2,TVSD,monkeyF,V1,0.53033546,0.05458608,0.23505495,0.00248961,0.12379311,0.17875692
MODEL_B,visual-blocks-2,TVSD,monkeyN,IT,0.42143038,0.04300492,0.13831877,0.00143537,0.04525367,0.02326724
MODEL_B,visual-blocks-2,TVSD,monkeyN,V4,0.46713245,0.04772356,0.17259843,0.00179946,0.04645708,0.06750055
MODEL_B,visual-blocks-2,TVSD,monkeyN,V1,0.54841202,0.05559552,0.24020498,0.00247078,0.08153297,0.13863065
MODEL_B,visual-blocks-6,TVSD,monkeyF,IT,0.46729786,0.04836873,0.18299626,0.00195786,0.10804838,0.09710397
MODEL_B,visual-blocks-6,TVSD,monkeyF,V4,0.54628114,0.05562437,0.23719589,0.00245091,0.06751867,0.08947326
MODEL_B,visual-blocks-6,TVSD,monkeyF,V1,0.64280531,0.06610512,0.40782002,0.00429492,0.12955074,0.17310662
MODEL_B,visual-blocks-6,TVSD,monkeyN,IT,0.59188624,0.06044109,0.25166209,0.00262438,0.05124799,0.03947843
MODEL_B,visual-blocks-6,TVSD,monkeyN,V4,0.52915105,0.05403069,0.22363027,0.00232731,0.06208848,0.07880598
MODEL_B,visual-blocks-6,TVSD,monkeyN,V1,0.69037291,0.06995696,0.45991836,0.00472067,0.08138514,0.12397615
MODEL_B,visual-blocks-10,TVSD,monkeyF,IT,0.2622954,0.02706338,-0.10734648,-0.00130806,0.08167841,0.01324162
MODEL_B,visual-blocks-10,TVSD,monkeyF,V4,0.34395448,0.0349579,0.00111564,-0.00012554,0.03559647,0.00988062
MODEL_B,visual-blocks-10,TVSD,monkeyF,V1,0.4828294,0.04953583,0.1318305,0.00126512,0.09250792,0.04971352
MODEL_B,visual-blocks-10,TVSD,monkeyN,IT,0.32788958,0.03334739,-0.03736926,-0.00055689,0.03547001,-0.00462135
MODEL_B,visual-blocks-10,TVSD,monkeyN,V4,0.29980934,0.03055471,-0.04014235,-0.00051386,0.04057962,0.00876743
MODEL_B,visual-blocks-10,TVSD,monkeyN,V1,0.50975796,0.05160621,0.23191013,0.00234528,0.04036425,0.0135579
MODEL_B,visual-blocks-14,TVSD,monkeyF,IT,0.44366961,0.04583679,0.13575892,0.00135756,0.09713059,0.01189422
MODEL_B,visual-blocks-14,TVSD,monkeyF,V4,0.45863184,0.04661005,0.16081575,0.00156962,0.03614812,0.00502648
MODEL_B,visual-blocks-14,TVSD,monkeyF,V1,0.30726106,0.03149846,-0.03503361,-0.0004794,0.06378104,0.03211242
MODEL_B,visual-blocks-14,TVSD,monkeyN,IT,0.55122928,0.05623237,0.26419915,0.00266803,0.04076883,0.00044992
MODEL_B,visual-blocks-14,TVSD,monkeyN,V4,0.46810983,0.04779338,0.17204345,0.00173635,0.03870904,0.00756145
MODEL_B,visual-blocks-14,TVSD,monkeyN,V1,0.40819224,0.04134884,0.14580596,0.00148037,0.03054091,0.00110694
MODEL_B,visual-blocks-18,TVSD,monkeyF,IT,0.46671297,0.04815522,0.11987953,0.00113672,0.10859524,0.02829165
MODEL_B,visual-blocks-18,TVSD,monkeyF,V4,0.41189193,0.0418243,-0.14137819,-0.00180681,0.04138577,0.0104529
MODEL_B,visual-blocks-18,TVSD,monkeyF,V1,0.40389575,0.04145927,0.12061264,0.00121893,0.05674943,0.03475623
MODEL_B,visual-blocks-18,TVSD,monkeyN,IT,0.51406935,0.05236581,0.08163552,0.00059916,0.05257291,0.01030159
MODEL_B,visual-blocks-18,TVSD,monkeyN,V4,0.49061606,0.05005039,0.18430188,0.00184946,0.04925225,0.01725683
MODEL_B,visual-blocks-18,TVSD,monkeyN,V1,0.46290009,0.04688169,0.21092572,0.00215418,0.03377005,0.00592375
MODEL_B,visual-blocks-22,TVSD,monkeyF,IT,0.06493607,0.00663239,-92.04404559,-1.04061061,0.11341868,0.06753213
MODEL_B,visual-blocks-22,TVSD,monkeyF,V4,0.09255963,0.00940039,-56.12103794,-0.61774503,0.06372659,0.02898113
MODEL_B,visual-blocks-22,TVSD,monkeyF,V1,0.27508961,0.02816856,-0.906541,-0.01021892,0.04728834,0.03935541
MODEL_B,visual-blocks-22,TVSD,monkeyN,IT,0.09195281,0.00931869,-65.92929454,-0.73289391,0.05951035,0.03099749
MODEL_B,visual-blocks-22,TVSD,monkeyN,V4,0.074455,0.00755321,-68.20636594,-0.74048082,0.07257267,0.04237053
MODEL_B,visual-blocks-22,TVSD,monkeyN,V1,0.29849017,0.03018286,-0.57329178,-0.00610969,0.03482454,0.01589493
MODEL_A,layer1-0,EEG2,sub-01,occipital_parietal,0.11547244,-66.29315863,0.01757839,-1085969.5862856,0.04000618,0.00294017
MODEL_A,layer1-0,EEG2,sub-02,occipital_parietal,0.13281567,45.05357556,0.02021215,-209420.40026123,0.06158929,0.05793416
MODEL_A,layer1-0,EEG2,sub-03,occipital_parietal,0.16213834,1.41398114,0.03616455,-522988.62699702,0.04679635,0.1415512
MODEL_A,layer1-0,EEG2,sub-04,occipital_parietal,0.08008999,-21.60024451,-0.00076246,-279867.12683012,0.05955815,0.01582954
MODEL_A,layer1-0,EEG2,sub-05,occipital_parietal,0.1600964,-101.05710267,0.04061611,-1540586.25746952,0.15157043,0.1778737
MODEL_A,layer1-0,EEG2,sub-06,occipital_parietal,0.20034685,-13.08767687,0.05573194,-450535.37283215,0.03752774,0.13661618
MODEL_A,layer1-0,EEG2,sub-07,occipital_parietal,0.18499594,61.47352379,0.04375074,-452309.27082975,0.07195123,0.13884779
MODEL_A,layer1-0,EEG2,sub-08,occipital_parietal,0.13541642,-10.53672891,0.00360345,-723229.60062064,0.09195371,0.12275162
MODEL_A,layer1-0,EEG2,sub-09,occipital_parietal,0.13827677,52.79997371,0.02323765,-330802.89191964,0.07547628,0.04714758
MODEL_A,layer1-0,EEG2,sub-10,occipital_parietal,0.22760628,20.32131389,0.06444992,-326433.0242681,0.0112219,0.13476499
MODEL_A,layer2-0,EEG2,sub-01,occipital_parietal,0.10856909,-71.16581627,-0.00657069,-2405558.0047364,0.0604891,0.00390392
MODEL_A,layer2-0,EEG2,sub-02,occipital_parietal,0.14312594,28.10519854,0.01505939,-379183.58445151,0.1066083,0.07097574
MODEL_A,layer2-0,EEG2,sub-03,occipital_parietal,0.16324351,-2.97004396,0.02659479,-905144.15411139,0.09892804,0.1580113
MODEL_A,layer2-0,EEG2,sub-04,occipital_parietal,0.12763058,-24.96711759,0.00159752,-872792.37897555,0.09326405,0.01726497
MODEL_A,layer2-0,EEG2,sub-05,occipital_parietal,0.19904541,124.7491045,0.0475299,-1307305.56815055,0.17346189,0.21322527
MODEL_A,layer2-0,EEG2,sub-06,occipital_parietal,0.14348887,-22.14122433,0.01547626,-883007.06401468,0.10934956,0.17675357
MODEL_A,layer2-0,EEG2,sub-07,occipital_parietal,0.17100886,24.24360825,0.02852424,-990801.73759978,0.11520679,0.1745396
MODEL_A,layer2-0,EEG2,sub-08,occipital_parietal,0.1606225,9.10876192,0.00606526,-625147.79138784,0.12670219,0.1386643
MODEL_A,layer2-0,EEG2,sub-09,occipital_parietal,0.12888842,76.75785606,-0.00298508,-877050.36498223,0.11535952,0.05730586
MODEL_A,layer2-0,EEG2,sub-10,occipital_parietal,0.23474342,92.96297172,0.05667376,-272991.31776822,0.09270419,0.15150889
MODEL_A,layer3-0,EEG2,sub-01,occipital_parietal,0.16624993,49.00015361,0.0311447,-1213860.39964737,0.07599823,0.00303784
MODEL_A,layer3-0,EEG2,sub-02,occipital_parietal,0.13916072,24.36239566,-0.03889086,-1174247.69511932,0.14005888,0.08669828
MODEL_A,layer3-0,EEG2,sub-03,occipital_parietal,0.21185895,-56.85318643,0.00023762,-2265002.86494747,0.15711174,0.16967844
MODEL_A,layer3-0,EEG2,sub-04,occipital_parietal,0.14386548,-29.98023498,0.00879064,-826405.04799132,0.07116683,0.02580983
MODEL_A,layer3-0,EEG2,sub-05,occipital_parietal,0.22929069,45.50633033,0.00959016,-5164661.50092221,0.2097009,0.24084953
MODEL_A,layer3-0,EEG2,sub-06,occipital_parietal,0.29094423,60.84229306,0.0653971,-1086778.31468625,0.19958087,0.19980519
MODEL_A,layer3-0,EEG2,sub-07,occipital_parietal,0.24769791,142.55080967,0.04510071,-2026450.40104628,0.18714014,0.23529856
MODEL_A,layer3-0,EEG2,sub-08,occipital_parietal,0.21521955,27.48597005,-0.03402475,-1786911.03815177,0.17912191,0.16260882
MODEL_A,layer3-0,EEG2,sub-09,occipital_parietal,0.18915551,86.65296357,-0.00922189,-2095310.0180021,0.16549488,0.08338405
MODEL_A,layer3-0,EEG2,sub-10,occipital_parietal,0.31413514,95.949537,0.08337059,-1152252.29918725,0.16381116,0.1885697
MODEL_A,layer3-5,EEG2,sub-01,occipital_parietal,0.17997516,55.51897038,0.04367623,-629308.08450053,0.05492374,-0.00313269
MODEL_A,layer3-5,EEG2,sub-02,occipital_parietal,0.12960857,17.12033331,0.01655863,-180861.41945569,0.0995948,0.0775696
MODEL_A,layer3-5,EEG2,sub-03,occipital_parietal,0.24769094,-16.10880168,0.04131226,-1758384.53871335,0.09552292,0.14250622
MODEL_A,layer3-5,EEG2,sub-04,occipital_parietal,0.16877601,-10.56676741,0.02237438,-564447.32339691,0.07821991,0.02429836
MODEL_A,layer3-5,EEG2,sub-05,occipital_parietal,0.23308947,68.33103191,0.03404194,-4087199.11347804,0.16937073,0.19596349
MODEL_A,layer3-5,EEG2,sub-06,occipital_parietal,0.28512405,52.09880383,0.07585613,-982375.6163522,0.11468264,0.17559109
MODEL_A,layer3-5,EEG2,sub-07,occipital_parietal,0.22014662,104.93753559,0.0545434,-277760.37863823,0.15333452,0.20752831
MODEL_A,layer3-5,EEG2,sub-08,occipital_parietal,0.22342402,8.20535133,-0.00198015,-1439511.13402533,0.11134829,0.14929288
MODEL_A,layer3-5,EEG2,sub-09,occipital_parietal,0.15852473,70.83393965,0.02834291,-230457.31815774,0.15619191,0.08538002
MODEL_A,layer3-5,EEG2,sub-10,occipital_parietal,0.26724139,47.35654221,0.07633327,-262742.51026189,0.10958369,0.17373644
MODEL_A,layer3-10,EEG2,sub-01,occipital_parietal,0.1591654,-8.06475284,0.03232976,-1089663.2796598,0.05078326,-0.0004522
MODEL_A,layer3-10,EEG2,sub-02,occipital_parietal,0.11490867,10.16732658,0.00785322,-283986.23075127,0.09567246,0.07093195
MODEL_A,layer3-10,EEG2,sub-03,occipital_parietal,0.22575444,5.21062042,0.05397019,-394013.67788313,0.08518556,0.11914267
MODEL_A,layer3-10,EEG2,sub-04,occipital_parietal,0.16449605,-20.35361749,0.02301664,-574993.24434176,0.0834177,0.01755504
MODEL_A,layer3-10,EEG2,sub-05,occipital_parietal,0.22836485,-2.41327793,0.01388635,-5307286.05890386,0.1510243,0.15665377
MODEL_A,layer3-10,EEG2,sub-06,occipital_parietal,0.26221345,47.01023921,0.07696786,-132791.64145409,0.10870942,0.15119364
MODEL_A,layer3-10,EEG2,sub-07,occipital_parietal,0.22312116,122.28381066,0.06038818,-112797.90117527,0.14741478,0.19661314
MODEL_A,layer3-10,EEG2,sub-08,occipital_parietal,0.21211063,13.8769358,0.04361783,-334907.67640166,0.10945307,0.13701612
MODEL_A,layer3-10,EEG2,sub-09,occipital_parietal,0.15143703,42.65157088,0.0252201,-393830.73226092,0.18798675,0.08656222
MODEL_A,layer3-10,EEG2,sub-10,occipital_parietal,0.28500129,52.87320826,0.0810056,-271026.45941505,0.09977745,0.15552796
MODEL_A,layer3-15,EEG2,sub-01,occipital_parietal,0.17738376,23.89694362,0.04702279,-644625.97929182,0.03582399,0.00232999
MODEL_A,layer3-15,EEG2,sub-02,occipital_parietal,0.13537638,8.15714246,0.01944818,-277586.2607713,0.10640511,0.07679118
